campaignName,campaignId,sent,delivered,read,failed,timestamp
projects_text_based,67e7b767b58e5209c40be6f5,0,0,0,0,2025-04-02T14:40:09.217Z
project_code_based_users,67e7b5c3f1511309c38e59f2,0,0,1,0,2025-04-02T14:40:10.249Z
cert_value_bot_t1_v2,67e6ae1d7d4c543806f2f839,0,29,124,0,2025-04-02T14:40:11.282Z
cert_purchase_report_2_skill_v4,67e563de53b82209c60e7b17,86,82,67,2,2025-04-02T14:40:12.303Z
credibility_bot_v1_t1_unpaid,67e55458907f7109caf22122,0,0,0,0,2025-04-02T14:40:13.341Z
cert_value_bot_t1_cta_v1,67e41049e546bc09c8beca6e,1,1,1,0,2025-04-02T14:40:14.381Z
personalised_bundle_attempted,67e28cda7e00ed09c00517fc,0,0,0,0,2025-04-02T14:40:15.434Z
cert_purchase_report_2_job_v3,67e24320907f7109caf1be59,190,187,152,1,2025-04-02T14:40:16.463Z
day_2_final_discount_job_v3,67e17dda9445ca09c74ba6a7,0,2,17,0,2025-04-02T14:40:17.490Z
day_2_final_discount_skill_v3,67e17bb372868c09c89af7ed,0,1,9,0,2025-04-02T14:40:18.515Z
cert_purchase_report_2_job_v2,67e1726e72868c09c89af6db,0,0,0,0,2025-04-02T14:40:19.546Z
cert_purchase_report_2_skill_v3,67e161c572868c09c89af4bd,0,0,0,0,2025-04-02T14:40:20.569Z
certified_day_1_no_interaction_skill_v2,67dc062d8c733509c899eb0e,0,0,7,0,2025-04-02T14:40:21.602Z
certified_day_1_goal_not_given_v2,67dc03d5fcb94f09c96c8933,0,1,3,0,2025-04-02T14:40:22.627Z
certified_day_1_attempt_skill_v1,67dc0130700bb209c9b82023,0,0,5,0,2025-04-02T14:40:23.653Z
day_2_final_discount_skill_v2,67dad605cdc54e09c21d20d3,0,0,0,0,2025-04-02T14:40:24.767Z
certified_day_0_goal_not_given_v1,67dacffb0697a809c3e2d48f,52,52,43,0,2025-04-02T14:40:25.796Z
certified_day_1_no_interaction_job_v2,67d7d5c7dbe2cc09c4524d8c,0,1,31,0,2025-04-02T14:40:26.823Z
certified_day_1_goal_not_given_v1,67d7cbefa614c309cddaa1bc,0,0,0,0,2025-04-02T14:40:27.848Z
certified_day_1_no_interaction_skill,67d2d1bc3ea4ec47d0e65654,0,0,0,0,2025-04-02T14:40:28.877Z
certified_day_1_no_interaction_job,67d2ba6b54bf2347d18c0da6,0,0,0,0,2025-04-02T14:40:29.908Z
